Team,Opponent,Rank,Site,TV,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,conference_game,isRanked,Win,Team_Score,Opp_Score,OT,Special,GD,DateTime,Year,State,Region,OppisRanked
Hawaii,Louisiana Tech,99,"Aloha StadiumHonolulu, HI",1,29469,2,2,50000,0.58938,0,0,0.03,0.0,0.0,85,70,99,WAC,0,0,1,41,21,0,0,0,2010-10-02 17:30:00,2010,HI,O,0
Iowa State,Texas Tech,99,"Jack Trice StadiumAmes, IA",1,43162,2,2,55000,0.784763636,0,0,0.0,0.0,0.0,58,35,99,Big-12,0,0,1,52,38,0,0,0,2010-10-02 18:00:00,2010,IA,M,0
Arkansas State,Louisville,99,"ASU StadiumJonesboro, AR",1,25219,1,3,30964,0.8144619559999999,0,0,0.0,0.0,0.0,81,49,99,Sun Belt,1,0,0,24,34,0,0,0,2010-10-02 18:00:00,2010,AR,S,0
Memphis,Tulsa,99,"Liberty Bowl Memorial StadiumMemphis, TN",,22231,1,3,61008,0.364394833,1,0,0.0,0.0,0.0,80,45,99,CUSA,0,0,0,7,48,0,0,0,2010-10-02 18:00:00,2010,TN,S,0
Southern Miss,Marshall,99,"M. M. Roberts StadiumHattiesburg, MS",1,27518,3,1,36000,0.764388889,0,0,0.0,0.0,0.0,85,50,99,CUSA,0,0,1,41,16,0,0,0,2010-10-02 19:00:00,2010,MS,S,0
Alabama,Florida,1,"BryantDenny StadiumTuscaloosa, AL",1,101821,4,0,101821,1.0,0,1,0.0,0.0,0.0,85,52,7,SEC,0,1,1,31,6,0,0,0,2010-10-02 19:00:00,2010,AL,S,1
Toledo,Wyoming,99,"Glass BowlToledo, OH",,20843,3,1,26248,0.7940795490000001,0,0,0.14,0.0,0.0,54,46,99,Mid-American,1,0,0,15,20,0,0,0,2010-10-02 19:00:00,2010,OH,M,0
Boston College,Notre Dame,99,"Alumni StadiumChestnut Hill, MA ",1,44500,2,1,44500,1.0,0,0,0.0,0.0,0.0,65,46,99,ACC,1,0,0,13,31,0,1,0,2010-10-02 20:00:00,2010,MA,N,0
Middle Tennessee,Troy,99,"Johnny ""Red"" Floyd StadiumMurfreesboro, TN ",1,28010,3,2,30788,0.90977004,0,0,0.0,0.0,0.0,62,33,99,Sun Belt,0,0,0,13,42,0,1,0,2010-10-05 19:00:00,2010,TN,S,0
UCF,UAB,99,"Bright House Networks StadiumOrlando, FL",1,40281,2,2,45323,0.8887540540000001,0,0,0.0,0.0,0.0,80,59,99,CUSA,0,0,1,42,7,0,0,0,2010-10-06 20:00:00,2010,FL,S,0
Kansas State,Nebraska,99,"Bill Snyder Family Football StadiumManhattan, KS ",1,51015,4,0,50000,1.0203,0,0,0.0,0.0,0.0,85,50,7,Big-12,0,0,0,13,48,0,1,0,2010-10-07 18:30:00,2010,KS,M,1
Rutgers,Connecticut,99,"Rutgers StadiumPiscataway, New Jersey",1,48431,2,2,52454,0.923304228,0,0,0.0,0.0,0.0,74,46,99,AAC,0,0,1,27,24,0,0,0,2010-10-08 19:30:00,2010,NJ,N,0
Louisiana,Oklahoma State,99,"Cajun FieldLafayette, Louisiana",1,25881,2,2,31000,0.8348709679999999,1,0,0.0,0.0,0.0,90,58,21,Sun Belt,1,0,0,28,54,0,0,0,2010-10-08 20:00:00,2010,LA,S,1
Northern Illinois,Temple,99,"Huskie StadiumDeKalb, IL",1,14011,3,2,24000,0.5837916670000001,0,0,0.0,0.0,0.0,89,43,99,Mid-American,0,0,1,31,17,0,0,0,2010-10-09 11:00:00,2010,IL,M,0
Wisconsin,Minnesota,20,"Camp Randall StadiumMadison, WI ",1,80328,4,1,80321,1.00008715,0,1,0.0,0.0,0.0,85,53,99,Big-10,0,1,1,41,23,0,1,0,2010-10-09 11:00:00,2010,WI,M,0
Ball State,Western Michigan,99,"Scheumann StadiumMuncie, IN",1,11963,2,3,30406,0.39344208399999997,0,0,0.0,0.0,0.0,84,49,99,Mid-American,0,0,0,16,45,0,0,0,2010-10-09 12:00:00,2010,IN,M,0
Penn State,Illinois,99,"Beaver StadiumUniversity Park, PA",1,107638,3,2,107282,1.003318357,0,1,0.0,0.0,0.0,72,46,99,Big-10,0,0,0,13,33,0,0,0,2010-10-09 12:00:00,2010,PA,N,0
NC State,Boston College,99,"CarterFinley StadiumRaleigh, North Carolina",1,56859,4,1,57583,0.987426845,0,0,0.0,0.0,0.0,84,48,99,ACC,0,0,1,44,17,0,0,0,2010-10-09 12:00:00,2010,SC,S,0
California,UCLA,99,"Memorial StadiumBerkeley, CA ",1,61664,2,2,71799,0.858842045,0,0,0.0,0.0,0.0,77,50,99,Pac-12,0,0,1,35,7,0,1,0,2010-10-09 12:30:00,2010,CA,W,0
Nevada,San Jose State,21,"Mackay StadiumReno, NV",1,20636,5,0,29993,0.6880272059999999,0,0,0.0,0.0,0.0,71,43,99,WAC,0,1,1,35,13,0,0,0,2010-10-09 13:00:00,2010,NV,W,0
Ohio,Bowling Green,99,"Peden StadiumAthens, OH",,19855,2,3,24000,0.827291667,0,0,0.0,0.0,0.0,74,40,99,Mid-American,0,0,1,49,25,0,0,0,2010-10-09 14:00:00,2010,OH,M,0
Louisiana Tech,Utah State,99,"Joe Aillet StadiumRuston, LA",1,16073,1,4,30600,0.525261438,1,0,0.0,0.0,0.0,91,50,99,WAC,0,0,1,24,6,0,0,0,2010-10-09 15:00:00,2010,LA,S,0
Kent State,Akron,99,"Dix StadiumKent, OH ",,24221,1,3,27262,0.888452791,0,0,0.0,0.0,0.0,71,39,99,Mid-American,0,0,1,28,17,0,1,0,2010-10-09 15:30:00,2010,OH,M,0
West Virginia,UNLV,99,"Mountaineer FieldMorgantown, WV",1,58234,3,1,60000,0.970566667,0,0,0.0,0.0,0.0,73,43,99,WAC,1,0,1,49,10,0,0,0,2010-10-09 15:30:00,2010,WV,S,0
Notre Dame,Pittsburgh,99,"Notre Dame StadiumSouth Bend, IN ",1,80795,2,3,80795,1.0,1,1,0.0,0.0,0.0,85,49,99,Independent,0,0,1,23,17,0,1,0,2010-10-09 15:30:00,2010,IN,M,0
Georgia Tech,Virginia,99,"Bobby Dodd StadiumAtlanta, GA",1,48016,3,2,55000,0.873018182,0,0,0.0,0.0,0.0,85,49,99,ACC,0,0,1,33,21,0,0,0,2010-10-09 15:30:00,2010,GA,S,0
FIU,Western Kentucky,99,"FIU StadiumMiami, FL",1,14335,0,4,18000,0.796388889,0,0,0.0,0.0,0.0,86,63,99,Sun Belt,0,0,1,28,21,0,0,0,2010-10-09 15:30:00,2010,FL,S,0
Arizona,Oregon State,9,"Arizona StadiumTucson, Arizona",1,56054,4,0,57400,0.976550523,0,0,0.0,0.0,0.0,88,55,99,Pac-12,0,1,0,27,29,0,0,0,2010-10-09 16:00:00,2010,AZ,W,0
BYU,San Diego State,99,"LaVell Edwards StadiumProvo, UT",1,62176,1,4,63725,0.975692428,0,0,0.0,0.0,0.0,62,44,99,MWC,0,0,1,24,21,0,0,0,2010-10-09 16:00:00,2010,UT,W,0
South Alabama,Missouri S T,99,"LaddPeebles StadiumMobile, AL",,14119,4,0,40646,0.347365054,0,0,0.0,0.0,0.0,85,57,99,FCS,1,0,1,45,6,0,0,0,2010-10-09 16:00:00,2010,AL,S,0
Iowa State,Utah,99,"Jack Trice StadiumAmes, IA",1,43195,3,2,55000,0.7853636359999999,0,0,0.0,0.0,0.0,85,49,10,Big-12,1,0,0,27,68,0,0,0,2010-10-09 18:00:00,2010,IA,M,1
Missouri,Colorado,24,"Faurot FieldColumbia, Missouri",1,62965,0,0,71004,0.886781026,0,0,0.0,0.0,0.0,83,56,99,Big-12,0,1,1,26,0,0,0,0,2010-10-09 18:00:00,2010,MO,M,0
Boise State,Toledo,4,"Bronco StadiumBoise, ID",1,33833,4,0,33500,1.0099402990000002,0,0,0.0,0.0,0.0,71,49,99,WAC,1,1,1,57,14,0,0,0,2010-10-09 18:00:00,2010,ID,W,0
Southern Miss,East Carolina,99,"M. M. Roberts StadiumHattiesburg, MS",1,32334,4,1,36000,0.898166667,0,0,0.0,0.0,0.0,93,53,99,CUSA,0,0,0,43,44,0,0,0,2010-10-09 18:30:00,2010,MS,S,0
Northwestern,Purdue,99,"Ryan FieldEvanston, IL",1,33847,5,0,47130,0.7181625290000001,0,0,0.0,0.0,0.0,83,41,99,Big-10,0,0,0,17,20,0,0,0,2010-10-09 18:30:00,2010,IL,M,0
SMU,Tulsa,99,"Gerald J. Ford StadiumUniversity Park, TX",,19329,3,2,32000,0.60403125,0,0,0.0,0.0,0.0,85,64,99,AAC,0,0,1,21,18,0,0,0,2010-10-09 19:00:00,2010,TX,S,0
Washington,Arizona State,99,"Husky StadiumSeattle, WA",1,65685,2,2,72500,0.9059999999999999,0,1,0.73,0.0,0.0,63,57,99,Pac-12,0,0,0,14,24,0,0,0,2010-10-09 19:00:00,2010,WA,W,0
UTEP,Rice,99,"Sun Bowl StadiumEl Paso, TX",,28955,4,1,51500,0.56223301,0,0,0.0,0.0,0.0,85,55,99,CUSA,0,0,1,44,24,0,0,0,2010-10-09 19:05:00,2010,TX,S,0
Marshall,UCF,99,"Joan C. Edwards StadiumHuntington, WV",1,23601,1,4,38019,0.6207685629999999,1,0,0.0,0.0,0.0,77,43,99,CUSA,0,0,0,14,35,0,0,0,2010-10-13 20:00:00,2010,WV,S,0
Kansas,Kansas State,99,"Memorial StadiumLawrence, KS ",1,47561,2,3,50000,0.9512200000000001,1,0,0.0,0.0,0.0,68,45,99,Big-12,0,0,0,7,59,0,1,0,2010-10-14 18:30:00,2010,KS,M,0
Texas A&M,Missouri,99,"Kyle FieldCollege Station, TX",1,83453,3,2,83002,1.005433604,0,1,0.0,0.0,0.0,85,50,21,Big-12,0,0,0,9,30,0,0,0,2010-10-16 11:00:00,2010,TX,S,1
Michigan State,Illinois,13,"Spartan StadiumEast Lansing, MI",1,74441,6,0,72027,1.03351521,0,1,0.0,0.0,0.0,62,34,99,Big-10,0,1,1,26,6,0,0,0,2010-10-16 12:00:00,2010,MI,W,0
Syracuse,Pittsburgh,99,"Carrier DomeSyracuse, New York",1,40168,4,1,49262,0.815395234,0,0,0.02,0.0,0.0,56,43,99,Big East,0,0,0,14,45,0,0,0,2010-10-16 12:00:00,2010,NY,N,0
Indiana,Arkansas State,99,"Memorial StadiumBloomington, Indiana",1,40480,3,2,52929,0.764798126,0,0,0.0,0.0,0.0,66,39,99,Big-10,1,0,1,36,34,0,0,0,2010-10-16 12:00:00,2010,IN,M,0
Florida State,Boston College,16,"Doak Campbell StadiumTallahassee, FL",1,75301,5,1,82300,0.914957473,1,0,0.0,0.0,0.0,83,45,99,ACC,0,1,1,24,19,0,0,0,2010-10-16 12:00:00,2010,FL,S,0
USC,California,99,"Los Angeles Memorial ColiseumLos Angeles, CA",1,72386,4,2,93607,0.773296869,1,1,0.0,0.0,0.0,65,62,99,ACC,0,0,1,48,14,0,0,0,2010-10-16 12:30:00,2010,CA,W,0
Ball State,Eastern Michigan,99,"Scheumann StadiumMuncie, IN",,10956,2,4,30406,0.36032362,0,0,0.0,0.0,0.0,66,34,99,Mid-American,0,0,0,38,41,1,0,0,2010-10-16 13:00:00,2010,IN,M,0
Ohio,Akron,99,"Peden StadiumAthens, OH",,21645,3,3,24000,0.901875,0,0,0.17,0.0,0.0,60,35,99,Mid-American,0,0,1,38,10,0,0,0,2010-10-16 14:00:00,2010,OH,M,0
Nebraska,Texas,5,"Memorial StadiumLincoln, Nebraska",1,85648,5,0,81067,1.056508814,0,1,0.0,0.0,0.0,75,40,99,Big-12,0,1,0,13,20,0,0,0,2010-10-16 14:30:00,2010,NE,W,0
Notre Dame,Western Michigan,99,"Notre Dame StadiumSouth Bend, IN",1,80795,3,3,80795,1.0,1,1,0.0,0.0,0.0,76,38,99,Independent,0,0,1,44,20,0,0,0,2010-10-16 14:30:00,2010,IN,M,0
Northern Illinois,Buffalo,99,"Huskie StadiumDeKalb, IL",,21230,4,2,24000,0.8845833329999999,0,0,0.0,0.0,0.0,66,32,99,Mid-American,0,0,1,45,14,0,0,0,2010-10-16 14:30:00,2010,IL,M,0
Louisiana Tech,Idaho,99,"Joe Aillet StadiumRuston, LA",1,19750,2,4,30600,0.6454248370000001,1,0,0.0,0.0,0.0,84,40,99,WAC,0,0,1,48,35,0,0,0,2010-10-16 15:00:00,2010,LA,S,0
Georgia Tech,Middle Tennessee,99,"Bobby Dodd StadiumAtlanta, GA",1,40652,4,2,55000,0.7391272729999999,0,0,0.0,0.0,0.0,76,38,99,ACC,1,0,1,42,14,0,0,0,2010-10-16 15:30:00,2010,GA,S,0
UMass,Richmond,8,"McGuirk StadiumHadley, MA",1,16421,4,1,17000,0.965941176,0,0,0.2,0.0,0.0,51,43,20,FCS,0,1,0,10,11,0,0,0,2010-10-16 15:30:00,2010,MA,N,1
San Diego State,Air Force,99,"Qualcomm StadiumSan Diego, CA",1,28178,3,2,54000,0.521814815,0,0,0.0,0.0,0.0,69,66,23,MWC,0,0,1,27,25,0,0,0,2010-10-16 17:00:00,2010,CA,W,1
Colorado,Baylor,99,"Folsom FieldBoulder, CO",1,48953,3,2,53613,0.913080783,0,0,0.0,0.0,0.0,67,42,99,Big-12,0,0,0,25,31,0,0,0,2010-10-16 17:00:00,2010,CO,W,0
Hawaii,Nevada,99,"Aloha StadiumHonolulu, HI",1,42031,4,2,50000,0.84062,0,0,0.0,0.0,0.0,86,70,19,WAC,0,0,1,27,21,0,0,0,2010-10-16 17:30:00,2010,HI,O,1
Western Kentucky,Louisiana Monroe,99,"Houchens IndustriesL. T. Smith StadiumBowling Green, Kentucky",,15142,0,5,22113,0.6847555740000001,1,0,0.0,0.0,0.0,75,39,99,Sun Belt,0,0,0,30,35,0,0,0,2010-10-16 18:00:00,2010,KY,S,0
Virginia,North Carolina,99,"Scott StadiumCharlottesville, VA ",1,50830,2,3,61500,0.826504065,1,0,0.0,0.0,0.0,61,46,99,ACC,0,0,0,10,44,0,1,0,2010-10-16 18:00:00,2010,VA,S,0
Troy,Louisiana,99,"Veterans Memorial StadiumTroy, Alabama",,22283,3,2,30000,0.742766667,0,0,0.0,0.0,0.0,78,40,99,Sun Belt,0,0,1,31,24,0,0,0,2010-10-16 18:00:00,2010,AL,S,0
Oklahoma,Iowa State,6,"Gaylord Family Oklahoma Memorial StadiumNorman, OK",1,84024,5,0,82112,1.023285269,0,1,0.0,0.0,0.0,85,48,99,Big-12,0,1,1,52,0,0,0,0,2010-10-16 18:00:00,2010,OK,S,0
Wisconsin,Ohio State,18,"Camp Randall StadiumMadison, WI ",1,81194,5,1,80321,1.0108688890000002,0,1,0.0,0.0,0.0,71,37,1,Big-10,0,1,1,31,18,0,1,1,2010-10-16 18:00:00,2010,WI,M,1
Toledo,Kent State,99,"Glass BowlToledo, OH",,20048,3,3,26248,0.7637915270000001,0,0,0.0,0.0,0.0,65,37,99,Mid-American,0,0,1,34,21,0,0,0,2010-10-16 19:00:00,2010,OH,M,0
Washington,Oregon State,99,"Husky StadiumSeattle, WA",1,65235,2,3,72500,0.8997931029999999,0,1,0.0,0.0,0.0,58,43,99,Pac-12,0,0,1,35,34,2,0,0,2010-10-16 19:15:00,2010,WA,W,0
Alabama,Ole Miss,8,"BryantDenny StadiumTuscaloosa, AL ",1,101821,5,1,101821,1.0,0,1,0.0,0.0,0.0,80,44,99,SEC,0,1,1,23,10,0,1,0,2010-10-16 20:15:00,2010,AL,S,0
Northwestern,Michigan State,99,"Ryan FieldEvanston, IL",1,41115,5,1,47130,0.872374284,0,0,0.0,0.0,0.0,69,29,8,Big-10,0,0,0,27,35,0,0,0,2010-10-23 11:00:00,2010,IL,M,1
Illinois,Indiana,99,"Memorial StadiumChampaign, IL",1,53550,3,3,62870,0.851757595,0,0,0.0,0.0,0.0,81,58,99,Big-10,0,0,1,43,13,0,0,0,2010-10-23 11:00:00,2010,IL,M,0
Arkansas,Ole Miss,21,"Donald W. Reynolds Razorback StadiumFayetteville, AR ",1,73619,4,2,72000,1.0224861109999999,0,0,0.56,0.0,0.0,72,59,99,SEC,0,1,1,38,24,0,1,0,2010-10-23 11:21:00,2010,AR,S,0
West Virginia,Syracuse,20,"Mountaineer FieldMorgantown, WV",1,58122,5,1,60000,0.9687,0,0,0.0,0.0,0.0,59,33,99,WAC,0,1,0,14,19,0,0,0,2010-10-23 12:00:00,2010,WV,S,0
Arkansas State,Florida Atlantic,99,"ASU StadiumJonesboro, AR",1,13159,2,5,30964,0.424977393,0,0,0.0,0.0,0.0,82,48,99,Sun Belt,0,0,1,37,16,0,0,0,2010-10-23 12:00:00,2010,AR,S,0
Buffalo,Temple,99,"University at Buffalo StadiumAmherst, NY",1,13371,2,4,25013,0.534562028,1,0,0.29,0.0,0.0,60,44,99,Mid-American,0,0,0,0,42,0,0,0,2010-10-23 12:00:00,2010,NY,N,0
BYU,Wyoming,99,"LaVell Edwards StadiumProvo, UT",1,60505,2,5,63725,0.9494703809999999,0,0,0.53,0.0,0.0,60,47,99,MWC,0,0,1,25,20,0,0,0,2010-10-23 12:00:00,2010,UT,W,0
California,Arizona State,99,"Memorial StadiumBerkeley, CA",1,51599,3,3,71799,0.7186590340000001,0,0,0.23,0.0,0.0,60,50,99,Pac-12,0,0,1,50,17,0,0,0,2010-10-23 12:30:00,2010,CA,W,0
Boston College,Maryland,99,"Alumni StadiumChestnut Hill, MA",1,36078,2,4,44500,0.8107415729999999,0,0,0.0,0.0,0.0,56,35,99,ACC,0,0,0,21,24,0,0,0,2010-10-23 13:00:00,2010,MA,N,0
Miami (OH),Ohio,99,"Yager StadiumOxford, OH",,17144,4,3,24286,0.705921107,0,0,0.0,0.0,0.0,78,38,99,Mid-American,0,0,0,13,34,0,0,0,2010-10-23 13:00:00,2010,OH,M,0
Colorado,Texas Tech,99,"Folsom FieldBoulder, CO",,47655,3,3,53613,0.888870237,0,0,0.01,0.0,0.0,64,43,99,Big-12,0,0,0,24,27,0,0,0,2010-10-23 13:30:00,2010,CO,W,0
SMU,Houston,99,"Gerald J. Ford StadiumUniversity Park, TX",1,20741,4,3,32000,0.64815625,0,0,0.0,0.0,0.0,75,60,99,AAC,0,0,0,20,45,0,0,0,2010-10-23 14:30:00,2010,TX,S,0
Baylor,Kansas State,99,"Floyd Casey StadiumWaco, TX",,40057,5,2,50000,0.80114,0,0,0.99,0.0,0.0,82,62,99,Big-12,0,0,1,47,42,0,0,0,2010-10-23 14:30:00,2010,TX,S,0
Northern Illinois,Central Michigan,99,"Huskie StadiumDeKalb, IL",1,17042,5,2,24000,0.7100833329999999,0,0,0.56,0.0,0.0,67,29,99,Mid-American,0,0,1,33,7,0,0,0,2010-10-23 15:05:00,2010,IL,M,0
Clemson,Georgia Tech,99,"Memorial StadiumClemson, SC ",1,78522,3,3,81473,0.9637794120000001,0,1,0.0,0.0,0.0,74,39,99,ACC,0,0,1,27,13,0,1,0,2010-10-23 15:30:00,2010,SC,S,0
Middle Tennessee,Louisiana Monroe,99,"Johnny ""Red"" Floyd StadiumMurfreesboro, TN",,19052,3,4,30788,0.618812524,0,0,0.0,0.0,0.0,77,33,99,Sun Belt,0,0,1,38,10,0,0,0,2010-10-23 15:30:00,2010,TN,S,0
UCF,Rice,99,"Bright House Networks StadiumOrlando, FL",1,38151,4,2,45323,0.841758048,0,0,0.0,0.0,0.0,86,63,99,CUSA,0,0,1,41,14,0,0,0,2010-10-23 15:30:00,2010,FL,S,0
Louisiana,Western Kentucky,99,"Cajun FieldLafayette, Louisiana",,15641,2,4,31000,0.504548387,1,0,0.0,0.0,0.0,82,57,99,Sun Belt,0,0,0,21,54,0,0,0,2010-10-23 16:00:00,2010,LA,S,0
Kansas,Texas A M,99,"Memorial StadiumLawrence, KS",1,44239,2,4,50000,0.8847799999999999,1,0,0.85,0.0,0.0,73,51,99,Big-12,0,0,0,10,45,0,0,0,2010-10-23 18:00:00,2010,KS,M,0
Virginia,Eastern Michigan,99,"Scott StadiumCharlottesville, VA",1,37386,2,4,61500,0.607902439,1,0,0.0,0.0,0.0,62,44,99,ACC,1,0,1,48,21,0,0,0,2010-10-23 18:00:00,2010,VA,S,0
Toledo,Ball State,99,"Glass BowlToledo, OH",,15010,4,3,26248,0.571853094,0,0,0.0,0.0,0.0,67,48,99,Mid-American,0,0,1,31,24,0,0,0,2010-10-23 19:00:00,2010,OH,M,0
Missouri,Oklahoma,18,"Faurot FieldColumbia, Missouri ",1,71004,2,0,71004,1.0,0,0,0.18,0.0,0.0,78,58,3,Big-12,0,1,1,36,27,0,1,0,2010-10-23 19:00:00,2010,MO,M,1
UTEP,Tulane,99,"Sun Bowl StadiumEl Paso, TX",,25007,5,2,51500,0.485572816,0,0,0.0,0.0,0.0,72,52,99,CUSA,0,0,0,24,34,0,0,0,2010-10-23 19:05:00,2010,TX,S,0
Arizona,Washington,15,"Arizona StadiumTucson, Arizona",1,56244,5,1,57400,0.979860627,0,0,0.0,0.0,0.0,74,52,99,Pac-12,0,1,1,44,14,0,0,0,2010-10-23 19:15:00,2010,AZ,W,0
New Mexico,San Diego State,99,"University StadiumAlbuquerque, NM",1,16488,0,6,39224,0.420354885,0,0,0.0,0.0,0.0,65,39,99,MWC,0,0,0,20,30,0,0,0,2010-10-23 20:00:00,2010,NM,W,0
Boise State,Louisiana Tech,2,"Bronco StadiumBoise, ID",1,32026,6,0,33500,0.956,0,0,0.28,0.0,0.0,49,37,99,WAC,0,1,1,49,20,0,0,0,2010-10-26 18:00:00,2010,ID,W,0
NC State,Florida State,99,"CarterFinley StadiumRaleigh, North Carolina",1,56807,5,2,57583,0.9865238000000002,0,0,0.0,0.0,0.0,82,61,16,ACC,0,0,1,28,24,0,0,0,2010-10-28 19:30:00,2010,SC,S,1
Southern Miss,UAB,99,"M. M. Roberts StadiumHattiesburg, MS",1,26415,5,2,36000,0.73375,0,0,0.0,0.0,0.0,80,35,99,CUSA,0,0,0,49,50,2,0,0,2010-10-30 11:00:00,2010,MS,S,0
Kansas State,Oklahoma State,99,"Bill Snyder Family Football StadiumManhattan, KS",1,50831,5,2,50000,1.01662,0,0,0.0,0.0,0.0,71,32,20,Big-12,0,0,0,14,24,0,0,0,2010-10-30 11:00:00,2010,KS,M,1
Illinois,Purdue,99,"Memorial StadiumChampaign, IL ",1,50371,4,3,62870,0.801192938,0,0,0.0,0.0,0.0,66,36,99,Big-10,0,0,1,44,10,0,1,0,2010-10-30 11:00:00,2010,IL,M,0
Indiana,Northwestern,99,"Memorial StadiumBloomington, Indiana",1,37818,4,3,52929,0.714504336,0,0,0.0,0.0,0.0,54,30,99,Big-10,0,0,0,17,20,0,0,0,2010-10-30 12:00:00,2010,IN,M,0
Virginia,Miami FL,99,"Scott StadiumCharlottesville, VA",1,39328,3,4,61500,0.639479675,1,0,0.0,0.0,0.0,58,38,22,ACC,0,0,1,24,19,0,0,0,2010-10-30 12:00:00,2010,VA,S,1
Boston College,Clemson,99,"Alumni StadiumChestnut Hill, MA ",1,37137,2,5,44500,0.8345393259999999,0,0,0.0,0.0,0.0,55,35,99,ACC,0,0,1,16,10,0,1,0,2010-10-30 12:00:00,2010,MA,N,0
Oregon State,California,99,"Reser StadiumCorvallis, Oregon",1,45439,3,3,45674,0.994854841,0,0,0.05,0.0,0.0,60,42,99,ACC,0,0,1,35,7,0,0,0,2010-10-30 12:30:00,2010,OR,W,0
UCLA,Arizona,99,"Rose BowlPasadena, CA",1,53408,3,4,92542,0.577121739,0,0,0.21,0.0,0.0,68,56,15,Pac-12,0,0,0,21,29,0,0,0,2010-10-30 12:30:00,2010,CA,W,1
Iowa State,Kansas,99,"Jack Trice StadiumAmes, IA",,46485,4,4,55000,0.8451818179999999,0,0,0.0,0.0,0.0,67,37,99,Big-12,0,0,1,28,16,0,0,0,2010-10-30 13:00:00,2010,IA,M,0
Western Kentucky,North Texas,99,"Houchens IndustriesL. T. Smith StadiumBowling Green, Kentucky",,14373,1,6,22113,0.64997965,1,0,0.0,0.0,0.0,70,30,99,Sun Belt,0,0,0,6,33,0,0,0,2010-10-30 14:00:00,2010,KY,S,0
Ohio,Louisiana Lafayette,99,"Peden StadiumAthens, OH",,15255,5,3,24000,0.635625,0,0,0.0,0.0,0.0,50,29,99,Mid-American,1,0,1,38,31,0,0,0,2010-10-30 14:00:00,2010,OH,M,0
Kent State,Ball State,99,"Dix StadiumKent, OH",,15468,3,4,27262,0.567383171,0,0,0.0,0.0,0.0,45,30,99,Mid-American,0,0,1,33,14,0,0,0,2010-10-30 14:00:00,2010,OH,M,0
Nebraska,Missouri,14,"Memorial StadiumLincoln, Nebraska ",1,85907,6,1,81067,1.059703702,0,1,0.0,0.0,0.0,70,39,7,Big-12,0,1,1,31,17,0,1,0,2010-10-30 14:30:00,2010,NE,W,1
Notre Dame,Tulsa,99,"Notre Dame StadiumSouth Bend, IN",1,80795,4,4,80795,1.0,1,1,0.0,0.0,0.0,72,36,99,Independent,0,0,0,27,28,0,0,0,2010-10-30 14:30:00,2010,IN,M,0
Texas A&M,Texas Tech,99,"Kyle FieldCollege Station, TX ",,84479,4,3,83002,1.0177947520000001,0,1,0.0,0.0,0.0,80,38,99,Big-12,0,0,1,45,27,0,1,0,2010-10-30 14:30:00,2010,TX,S,0
Marshall,UTEP,99,"Joan C. Edwards StadiumHuntington, WV",,24740,1,6,38019,0.650727268,1,0,0.0,0.0,0.0,54,26,99,CUSA,0,0,1,16,12,0,0,0,2010-10-30 15:00:00,2010,WV,S,0
Buffalo,Miami OH,99,"University at Buffalo StadiumAmherst, NY",1,12786,2,5,25013,0.511174189,1,0,0.0,0.0,0.0,55,43,99,Mid-American,0,0,0,9,21,0,0,0,2010-10-30 15:30:00,2010,NY,N,0
UCF,East Carolina,99,"Bright House Networks StadiumOrlando, FL ",1,40073,5,2,45323,0.884164773,0,0,0.0,0.0,0.0,84,62,99,CUSA,0,0,1,49,35,0,1,0,2010-10-30 15:30:00,2010,FL,S,0
South Alabama,Georgia State,99,"LaddPeebles StadiumMobile, AL",,23446,7,0,40646,0.576834129,0,0,0.0,0.0,0.0,75,43,99,FCS,1,0,1,39,34,0,0,0,2010-10-30 16:00:00,2010,AL,S,0
Washington,Stanford,99,"Husky StadiumSeattle, WA",1,69020,3,4,72500,0.9520000000000001,0,1,0.38,0.0,0.0,51,39,14,Pac-12,0,0,0,0,41,0,0,0,2010-10-30 16:00:00,2010,WA,W,1
Ole Miss,Auburn,99,"VaughtHemingway StadiumOxford, Mississippi ",1,61474,3,4,60580,1.014757346,0,1,0.0,0.0,0.0,62,33,3,SEC,0,0,0,31,51,0,1,0,2010-10-30 17:00:00,2010,MS,S,1
Hawaii,Idaho,99,"Aloha StadiumHonolulu, HI",1,37466,6,2,50000,0.74932,0,0,0.02,0.0,0.0,83,73,99,WAC,0,0,1,45,10,0,0,0,2010-10-30 17:30:00,2010,HI,O,0
Memphis,Houston,99,"Liberty Bowl Memorial StadiumMemphis, TN",1,19731,1,6,61008,0.323416601,1,0,0.0,0.0,0.0,63,33,99,CUSA,0,0,0,17,56,0,0,0,2010-10-30 18:00:00,2010,TN,S,0
Arkansas,Vanderbilt,19,"Donald W. Reynolds Razorback StadiumFayetteville, AR",1,70430,5,2,72000,0.9781944440000001,0,0,0.0,0.0,0.0,69,38,99,SEC,0,1,1,49,14,0,0,0,2010-10-30 19:00:00,2010,AR,S,0
Nevada,Utah State,99,"Mackay StadiumReno, NV",1,11558,6,1,29993,0.385356583,0,0,0.0,0.0,0.0,54,44,99,WAC,0,0,1,56,42,0,0,0,2010-10-30 19:30:00,2010,NV,W,0
